file_name,obj_class,volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,elongation,A3,D1,D2,D3,D4,global_score,local_score,final_score
D00526.obj,WheelChair,-1.1550027041644133,-1.153014912470283,-0.9787992867049732,-0.5145314117366032,-0.9662301860785665,-1.1112404741744286,-1.17896234676007,-1.10231822971549,-1.6551724137931034,-1.704225352112676,-1.8717948717948718,-1.6304347826086956,-1.7333333333333332,-2.4480298655414483,-6.016472527549875,-8.464502393091323
D00087.obj,PlantIndoors,-0.5243915630070309,-0.8511994813053814,-0.7895779671091736,-0.5072856119117765,-0.9220242197499261,-0.8930990685859442,-1.1266418563922942,-1.0516332982086407,-1.1551724137931034,-1.140845070422535,-1.2307692307692308,-1.4565217391304346,-1.3333333333333333,-1.9997559198810504,-4.4216492512140455,-6.4214051710950955
m822.obj,NonWheelChair,-0.932395889670092,-0.9813053814566672,-0.26966514761244303,-0.5120630623457282,-0.9035148173673329,-1.090601185436071,-0.7616024518388792,-0.9958904109589042,-1.103448275862069,-1.056338028169014,-1.358974358974359,-1.2826086956521738,-1.4999999999999998,-1.9341115040058352,-4.410958551060331,-6.345070055066166
D00499.obj,WheelChair,-1.0895619253650624,-1.0658093797276853,-0.5871805032692688,-0.5111075722589379,-0.8927833021561484,-0.8962743437764606,-0.4779991243432574,-0.912750263435195,-1.2758620689655171,-1.084507042253521,-1.051282051282051,-1.2826086956521738,-1.4166666666666665,-1.9300399242996047,-4.277648567373951,-6.207688491673555
D00088.obj,WheelChair,-1.1219037317468903,-1.1093581154095526,-0.8685357638200911,-0.5107094513894418,-0.9288175642414098,-1.0033869602032177,-0.69888353765324,-0.9872497365648052,-1.103448275862069,-0.9718309859154929,-1.2307692307692308,-1.0217391304347825,-1.4,-2.1686534583085946,-4.0094513360871025,-6.178104794395697
D00185.obj,NonWheelChair,-1.1254732287723093,-1.105251783012751,-0.4053893402021002,-0.5041802691297078,-0.9203504971940534,-0.8066257408975445,-1.0077714535901927,-0.9962065331928346,-1.1379310344827585,-1.3098591549295773,-1.2820512820512822,-0.9130434782608695,-0.9333333333333333,-2.061374653797448,-3.9033527981404745,-5.9647274519379225
m24.obj,Insect,-1.111195240670633,-1.1400475470066997,-0.9154943530810382,-0.49478461660960266,-0.9460470611401005,-0.9627434377646064,-0.8978765323992995,-1.0920969441517387,-1.1379310344827585,-0.9859154929577463,-1.3333333333333333,-0.9782608695652173,-0.8166666666666667,-2.2680857198471154,-3.6764751779040057,-5.944560897751121
D00720.obj,WheelChair,-0.8979989183342347,-0.9178733520639722,-0.7594610659797899,-0.510789075563341,-0.836565915132421,-0.6392887383573245,0.4495402802101577,-0.6307692307692309,-1.1379310344827585,-1.1126760563380282,-1.4615384615384617,-1.173913043478261,-1.5166666666666666,-1.422961804797047,-4.481907683752922,-5.904869488549969
D00070.obj,WheelChair,-0.6745267712276908,-0.7508104603414739,-0.9581929859322369,-0.5107094513894418,-0.7805454366446786,-0.7418501270110077,0.6671409807355518,-0.8874604847207588,-1.086206896551724,-1.3380281690140845,-1.358974358974359,-1.1956521739130435,-1.3166666666666664,-1.3910864209595213,-4.406869785583914,-5.797956206543435
D00199.obj,Biplane,-0.7745808545159547,-0.9133347741517182,-0.657123043392114,-0.4865037025240863,-0.9594368415870828,-1.0959991532599493,-0.9689141856392295,-0.959009483667018,-1.103448275862069,-1.1126760563380282,-1.2564102564102564,-0.9130434782608695,-0.7833333333333332,-2.0444706116211457,-3.6182379801431894,-5.662708591764336
